HOUSEHOLD_ID,COVERED,COV_LY,PRIVATE,AGE,INCOME,POVERTY_LEVEL,MEDICAID,SEX,EDUC,WORK,GRP,ETHNICITY,YEAR,FIPS,VIRGINIA,MALE,SUP2019,HIGHER_BAC,TREAT,POOREST,WHITE,OTHER_ETHNICITY
38392,1,1,0,24,10681,1,0,2,38,0,2,2,2017,51,1,0,0,0,0,1,0,1
38396,0,2,0,45,2014,1,0,1,43,1,2,4,2017,51,1,1,0,1,0,1,0,1
38397,0,2,0,31,5147,1,0,2,33,0,2,1,2017,51,1,0,0,0,0,1,1,0
38397,0,2,0,38,10000,1,0,1,35,1,2,1,2017,51,1,1,0,0,0,1,1,0
38403,1,1,0,27,0,1,0,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38403,1,1,0,39,0,1,0,1,46,1,2,2,2017,51,1,1,0,1,0,1,0,1
38414,1,1,0,32,8,1,0,2,44,3,2,1,2017,51,1,0,0,1,0,1,1,0
38417,1,1,0,54,17003,2,1,2,43,1,2,1,2017,51,1,0,0,1,0,0,1,0
38439,0,2,0,61,11844,1,0,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38439,0,2,0,60,228,1,0,1,39,1,2,2,2017,51,1,1,0,1,0,1,0,1
38441,0,2,0,46,10100,1,0,2,44,1,2,1,2017,51,1,0,0,1,0,1,1,0
38441,0,2,0,45,5532,1,0,2,43,2,2,1,2017,51,1,0,0,1,0,1,1,0
38451,1,1,0,40,8000,1,1,1,40,6,2,1,2017,51,1,1,0,1,0,1,1,0
38451,1,1,0,41,2000,1,1,2,43,0,2,1,2017,51,1,0,0,1,0,1,1,0
38466,0,2,0,49,0,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38466,1,1,0,60,8400,1,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
38469,0,2,0,49,15000,1,0,2,41,1,2,2,2017,51,1,0,0,1,0,1,0,1
38469,0,2,0,24,0,1,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
38469,1,1,1,20,0,1,0,2,39,1,1,2,2017,51,1,0,0,1,0,1,0,1
38471,1,1,0,33,0,1,1,2,44,3,2,2,2017,51,1,0,0,1,0,1,0,1
38471,1,1,0,24,0,1,1,1,36,0,2,2,2017,51,1,1,0,0,0,1,0,1
38489,0,2,0,23,13000,2,0,2,40,1,2,1,2017,51,1,0,0,1,0,0,1,0
38493,1,1,1,23,1,1,0,2,43,0,2,1,2017,51,1,0,0,1,0,1,1,0
38493,1,1,1,23,2636,1,0,1,43,1,1,1,2017,51,1,1,0,1,0,1,1,0
38494,1,1,1,25,11502,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38494,1,1,1,22,500,1,0,1,40,0,1,1,2017,51,1,1,0,1,0,1,1,0
38494,1,1,1,20,500,1,0,1,40,0,1,1,2017,51,1,1,0,1,0,1,1,0
38497,1,1,1,63,18137,3,0,2,40,0,2,2,2017,51,1,0,0,1,0,1,0,1
38499,0,2,0,24,12000,1,0,1,39,1,2,1,2017,51,1,1,0,1,0,1,1,0
38499,0,2,0,48,0,1,0,2,34,0,2,1,2017,51,1,0,0,0,0,1,1,0
38504,0,2,0,54,-3600,1,0,1,33,1,2,1,2017,51,1,1,0,0,0,1,1,0
38514,0,2,0,31,2401,1,0,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38514,0,2,0,34,0,1,0,1,36,1,2,2,2017,51,1,1,0,0,0,1,0,1
38516,1,1,1,20,900,1,0,2,40,1,1,1,2017,51,1,0,0,1,0,1,1,0
38516,1,1,1,20,15010,2,0,2,40,1,2,2,2017,51,1,0,0,1,0,0,0,1
38523,0,2,0,56,9600,1,0,2,36,0,2,2,2017,51,1,0,0,0,0,1,0,1
38524,1,1,0,60,9360,1,1,2,40,0,2,2,2017,51,1,0,0,1,0,1,0,1
38526,1,1,0,55,13139,2,1,2,39,0,2,2,2017,51,1,0,0,1,0,0,0,1
38528,1,1,1,21,15200,2,0,2,40,1,1,1,2017,51,1,0,0,1,0,0,1,0
38530,0,2,0,31,15000,1,0,2,40,1,2,1,2017,51,1,0,0,1,0,1,1,0
38550,0,2,0,36,0,1,0,2,35,0,2,1,2017,51,1,0,0,0,0,1,1,0
38550,1,1,0,19,8820,1,1,2,36,0,2,1,2017,51,1,0,0,0,0,1,1,0
38550,0,2,0,24,9380,1,0,1,39,1,2,6,2017,51,1,1,0,1,0,1,0,1
38554,0,2,0,43,0,1,0,1,39,0,2,4,2017,51,1,1,0,1,0,1,0,1
38554,0,2,0,45,22120,1,0,2,31,0,2,1,2017,51,1,0,0,0,0,1,1,0
38556,0,2,0,29,12500,1,0,2,42,1,2,1,2017,51,1,0,0,1,0,1,1,0
38558,1,1,1,27,14002,1,0,2,41,1,1,1,2017,51,1,0,0,1,0,1,1,0
38567,1,2,0,63,12,1,0,2,38,0,2,2,2017,51,1,0,0,0,0,1,0,1
38570,0,2,0,39,0,1,0,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38570,0,2,0,47,24000,1,0,1,39,1,2,2,2017,51,1,1,0,1,0,1,0,1
38586,1,1,1,26,8000,1,0,2,43,6,1,1,2017,51,1,0,0,1,0,1,1,0
38623,1,1,1,23,0,1,0,2,40,0,1,1,2017,51,1,0,0,1,0,1,1,0
38628,0,2,0,22,14560,2,0,1,39,1,2,1,2017,51,1,1,0,1,0,0,1,0
38636,1,1,0,35,26000,3,1,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38637,1,1,1,35,24000,2,0,1,39,1,1,4,2017,51,1,1,0,1,0,0,0,1
38640,0,2,0,35,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38654,1,1,0,60,0,1,1,1,37,0,2,2,2017,51,1,1,0,0,0,1,0,1
38661,0,2,0,48,27797,3,0,2,43,1,2,2,2017,51,1,0,0,1,0,1,0,1
38661,1,1,1,43,0,3,0,1,39,0,1,2,2017,51,1,1,0,1,0,1,0,1
38667,1,1,0,55,5148,1,0,2,41,0,2,2,2017,51,1,0,0,1,0,1,0,1
38683,0,2,0,20,10500,1,0,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38683,0,2,0,21,3172,1,0,2,38,1,2,1,2017,51,1,0,0,0,0,1,1,0
38695,0,2,0,40,1706,1,0,1,43,1,2,2,2017,51,1,1,0,1,0,1,0,1
38698,1,1,0,59,18600,2,0,1,39,0,2,1,2017,51,1,1,0,1,0,0,1,0
38698,0,2,0,57,0,2,0,2,39,0,2,1,2017,51,1,0,0,1,0,0,1,0
38699,1,1,0,56,10252,1,1,1,37,0,2,2,2017,51,1,1,0,0,0,1,0,1
38706,1,1,0,38,14001,1,1,2,40,1,2,2,2017,51,1,0,0,1,0,1,0,1
38711,1,1,0,39,22000,3,1,1,39,1,2,1,2017,51,1,1,0,1,0,1,1,0
38711,1,1,0,42,0,3,1,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38712,0,2,0,26,9000,1,0,1,39,1,2,1,2017,51,1,1,0,1,0,1,1,0
38716,1,1,0,53,14976,2,0,2,36,0,2,2,2017,51,1,0,0,0,0,0,0,1
38727,1,1,0,27,5000,1,1,2,44,0,2,1,2017,51,1,0,0,1,0,1,1,0
38738,0,2,0,57,4000,1,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
38739,1,1,1,59,15600,2,0,2,39,1,1,2,2017,51,1,0,0,1,0,0,0,1
38756,1,1,0,54,4801,1,1,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38758,0,2,0,39,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38758,1,1,1,32,25000,3,0,2,41,1,1,1,2017,51,1,0,0,1,0,1,1,0
38761,1,1,0,41,0,1,1,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38761,1,1,0,21,0,1,1,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38764,1,1,0,37,9696,1,1,2,35,0,2,1,2017,51,1,0,0,0,0,1,1,0
